Method,Name,Error,Occurrences
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/fi,2
GET,/api/shipping/cities/hu,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/hu,4
POST,/api/shipping/confirm/anonymous-12,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/confirm/anonymous-12,1
GET,/api/shipping/calc/4567780,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/calc/4567780,1
POST,/api/shipping/confirm/anonymous-3,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/confirm/anonymous-3,1
GET,/api/shipping/cities/se,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/se,3
GET,/api/shipping/cities/ch,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/ch,5
GET,/api/shipping/cities/dk,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/dk,2
GET,/api/shipping/cities/no,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/no,5
GET,/api/shipping/calc/4178120,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/calc/4178120,1
GET,/api/shipping/codes,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/codes,197
GET,/api/shipping/cities/tr,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/tr,3
GET,/api/shipping/cities/de,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/de,4
GET,/api/shipping/cities/us,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/us,3
GET,/api/shipping/calc/4172678,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/calc/4172678,1
GET,/api/shipping/cities/br,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/br,5
POST,/api/shipping/confirm/anonymous-21,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/confirm/anonymous-21,1
GET,/api/shipping/cities/ru,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/ru,7
GET,/api/shipping/cities/ca,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/ca,2
GET,/api/shipping/cities/ro,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/ro,4
GET,/api/shipping/cities/au,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/au,3
POST,/api/shipping/confirm/anonymous-9,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/confirm/anonymous-9,1
GET,/api/shipping/cities/bg,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/bg,5
GET,/api/shipping/cities/nl,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/nl,3
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/jp,6
GET,/api/shipping/cities/fr,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/fr,6
GET,/api/shipping/calc/3196758,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/calc/3196758,1
GET,/api/shipping/cities/es,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/es,3
GET,/api/shipping/cities/pt,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/pt,2
POST,/api/shipping/confirm/anonymous-7,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/confirm/anonymous-7,1
GET,/api/shipping/cities/in,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/in,2
POST,/api/shipping/confirm/anonymous-5,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/confirm/anonymous-5,1
GET,/api/shipping/cities/at,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/cities/at,3
GET,/api/shipping/calc/3849359,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/calc/3849359,1
GET,/api/shipping/calc/3756494,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/calc/3756494,1
GET,/api/shipping/calc/3848592,504 Server Error: Gateway Time-out for url: http://20.108.155.235/api/shipping/calc/3848592,1
